stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
261,213051,"CARSON ST + DENKER AV",,33.831400,-118.304011,,,,,,2
262,213057,"CARSON ST + HARBOR-UCLA MEDICAL CENTER",,33.831467,-118.291697,,,,,,2
263,213059,"Carson St at Vermont Av",,33.831499,-118.291087,,,,,,2
264,213061,"CARSON ST + FIGUEROA ST",,33.831489,-118.285372,,,,,,2
265,213063,"CARSON ST + MONETA AV",,33.831497,-118.281425,,,,,,2
266,213065,"Carson St at Main St",,33.831504,-118.277557,,,,,,2
267,213067,"CARSON ST + DOLORES ST",,33.831536,-118.272041,,,,,,2
268,213069,"CARSON ST + GRACE AV",,33.831570,-118.267615,,,,,,2
269,213071,"Carson St at Avalon Bl",,33.831537,-118.264210,,,,,,2
270,734035,"AVALON BL + 220TH ST",,33.827527,-118.263804,,,,,,2
271,225039,"223RD ST + AVALON BL",,33.824348,-118.263992,,,,,,2
272,225037,"223RD ST + GRACE AV",,33.824329,-118.268249,,,,,,2
273,225035,"223RD ST + DOLORES ST",,33.824323,-118.272814,,,,,,2
274,714025,"MAIN ST + 223RD ST",,33.823897,-118.276091,,,,,,2
275,714023,"MAIN ST + 228TH ST",,33.818613,-118.275680,,,,,,2
276,714021,"MAIN ST + 234TH ST",,33.813630,-118.275716,,,,,,2
277,714019,"MAIN ST + SEPULVEDA BL",,33.807593,-118.275754,,,,,,2
278,714017,"MAIN ST & WILMINGTON BL + LOMITA BL",,33.798158,-118.275394,,,,,,2
279,714015,"WILMINGTON BL + Q ST",,33.794128,-118.275253,,,,,,2
280,714013,"WILMINGTON BL + SANDISON ST",,33.792481,-118.275200,,,,,,2
281,513069,"PACIFIC COAST HWY + WILMINGTON BL",,33.790443,-118.274613,,,,,,2
282,513071,"PACIFIC COAST HWY + NEPTUNE AV",,33.790726,-118.269424,,,,,,2
283,513073,"PACIFIC COAST HWY + ISLAND AV",,33.790861,-118.266740,,,,,,2
284,513075,"PACIFIC COAST HWY + AVALON BL",,33.791018,-118.263659,,,,,,2
285,513077,"PACIFIC COAST HWY + EUBANK AV",,33.791469,-118.256348,,,,,,2
286,513079,"PACIFIC COAST HWY + SANFORD AV",,33.790807,-118.251191,,,,,,2
287,513081,"Pacific Coast Hwy at Watson Av",,33.790802,-118.248349,,,,,,2
288,513083,"Pacific Coast Hwy at Blinn Av",,33.790939,-118.245540,,,,,,2
289,513085,"PACIFIC COAST HWY + HAYES AV",,33.789744,-118.218934,,,,,,2
290,513087,"Pacific Coast Hwy at Santa Fe Av",,33.789745,-118.214788,,,,,,2
291,513089,"PACIFIC COAST HWY + OREGON AV MAINE AV",,33.789749,-118.200666,,,,,,2
292,513091,"PACIFIC COAST HWY + MAGNOLIA AV HENDERSON AV",,33.789753,-118.197363,,,,,,2
294,794027,"Pacific Av at Pacific Coast Hwy",,33.789437,-118.193845,,,,,,2
295,794023,"PACIFIC AV + 15TH ST",,33.784994,-118.193846,,,,,,2
296,794019,"Pacific Av at Anaheim St",,33.782324,-118.193848,,,,,,2
297,794015,"Pacific Av at 10th St",,33.778708,-118.193848,,,,,,2
298,794009,"PACIFIC AV + 7TH ST",,33.775093,-118.193862,,,,,,2
299,814013,"Long Beach Bl at 6th St",,33.773615,-118.189549,,,,,,2
300,814007,"LONG BEACH BL + 3RD ST",,33.770031,-118.189554,,,,,,2
301,345509,"Downtown Long Beach Station (Shelter A)",,33.768175,-118.190395,,,,,,2
303,792003,"PACIFIC AV + BROADWAY",,33.769664,-118.193568,,,,,,2
304,792007,"Pacific Av at 5th St",,33.773301,-118.193558,,,,,,2
305,792009,"PACIFIC AV + 7TH ST",,33.775617,-118.193575,,,,,,2
306,792015,"Pacific Av at 10th St",,33.779178,-118.193582,,,,,,2
307,792019,"Pacific Av at Anaheim St",,33.782817,-118.193596,,,,,,2
308,792023,"PACIFIC AV + 15TH ST",,33.785540,-118.193598,,,,,,2
309,515099,"Pacific Coast Hwy at Pacific Av",,33.789976,-118.194268,,,,,,2
311,515095,"PACIFIC COAST HWY + MAGNOLIA AV",,33.789966,-118.198493,,,,,,2
312,515093,"PACIFIC COAST HWY + MAINE AV",,33.789973,-118.200983,,,,,,2
313,515091,"Pacific Coast Hwy at Santa Fe Av",,33.789969,-118.216349,,,,,,2
314,515089,"PACIFIC COAST HWY + JUDSON AV",,33.789974,-118.221936,,,,,,2
315,515087,"2101 PACIFIC COAST HWY",,33.791694,-118.235675,,,,,,2
316,515085,"Pacific Coast Hwy at Blinn Av",,33.791186,-118.245215,,,,,,2
317,515083,"Pacific Coast Hwy at Watson Av",,33.791050,-118.247906,,,,,,2
318,515081,"PACIFIC COAST HWY + SANFORD AV",,33.791021,-118.251167,,,,,,2
319,515079,"PACIFIC COAST HWY + EUBANK AV",,33.791689,-118.256547,,,,,,2
320,515077,"Pacific Coast Hwy at Avalon Bl",,33.791295,-118.263008,,,,,,2
321,515075,"PACIFIC COAST HWY + ISLAND AV",,33.791106,-118.266645,,,,,,2
