stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1066,1066,"Whittier/Millux",,33.997625,-118.074952,,,0,,0
1067,1067,"Whittier/Passons",,33.998381,-118.077696,,,0,,0
1068,1068,"Whittier/Passons",,33.999027,-118.078179,,,0,,0
1069,1069,"Whittier/Millux",,33.997587,-118.075464,,,0,,0
1071,1071,"Whittier/Pioneer",,33.993952,-118.07017,,,0,,0
1072,1072,"Whittier/Lindsey",,34.000179,-118.08092,,,0,,0
1073,1073,"Whittier/Redman",,33.991912,-118.067221,,,0,,0
1074,1074,"Whittier/Rosemead",,34.001795,-118.084551,,,0,,0
1075,1075,"Whittier/Norwalk",,33.989615,-118.063912,,,0,,0
1076,1076,"Whittier/Columbia",,34.002479,-118.086158,,,0,,0
1077,1077,"Whittier/GlenGarry",,33.987567,-118.060838,,,0,,0
1078,1078,"Whittier/Paramount",,34.003373,-118.088335,,,0,,0
1079,1079,"Whittier/Broadway",,33.98548,-118.057604,,,0,,0
1080,1080,"Whittier/Myrtle",,34.006222,-118.094987,,,0,,0
1081,1081,"Whittier/Western",,33.984168,-118.055745,,,0,,0
1082,1082,"Whittier/4th",,34.00932,-118.104342,,,0,,0
1083,1083,"Whittier/Hadley",,33.982931,-118.053789,,,0,,0
1084,1084,"Whittier/6th",,34.009741,-118.106379,,,0,,0
1085,1085,"Whittier/Sorensen",,33.9811,-118.051433,,,0,,0
1086,1086,"Whittier/Montebello",,34.010268,-118.108738,,,0,,0
1087,1087,"Whittier/Philadelphia",,33.979097,-118.048693,,,0,,0
1088,1088,"Whittier/Greenwood",,34.010854,-118.111337,,,0,,0
1089,1089,"Philadelphia/Gregory",,33.979077,-118.046317,,,0,,0
1090,1090,"Whittier/Taylor",,34.011462,-118.114348,,,0,,0
1091,1091,"Philadelphia/Milton",,33.979026,-118.039944,,,0,,0
1092,1092,"Whittier/Maple",,34.012049,-118.1171,,,0,,0
1093,1093,"Philadelphia/Washington",,33.979034,-118.034686,,,0,,0
1094,1094,"Whittier/Vail",,34.012395,-118.118779,,,0,,0
1095,1095,"Philadelphia/Painter",,33.979061,-118.033182,,,0,,0
1096,1096,"Whittier/21st",,34.013364,-118.123289,,,0,,0
1097,1097,"Painter/Wardman",,33.977459,-118.032798,,,0,,0
1098,1098,"Whittier/Concourse",,34.014165,-118.127133,,,0,,0
1099,1099,"Painter/Penn",,33.975124,-118.032632,,,0,,0
2000,2000,"South Pine St / East Live Oak",,34.101934,-118.092191,,,0,,0
2001,2001,"Telegraph/Gage",,33.976822,-118.124346,,,0,,0
2002,2002,"San Gabriel/Las Tunas",,34.10331,-118.091366,,,0,,0
2003,2003,"Greenwood/Telegraph",,33.980605,-118.127812,,,0,,0
2004,2004,"San Gabriel/Broadway",,34.098777,-118.091097,,,0,,0
2005,2005,"Greenwood/Union",,33.981531,-118.127278,,,0,,0
2007,2007,"Greenwood/Elm",,33.986728,-118.124158,,,0,,0
2008,2008,"San Gabriel/Pearl",,34.092752,-118.091009,,,0,,0
2009,2009,"Greenwood/Oakwood",,33.988781,-118.123001,,,0,,0
2010,2010,"San Gabriel/Mission",,34.091366,-118.091089,,,0,,0
20101,20101,"San Gabriel/Mission",,34.090577,-118.090758,,,0,,0
20103,20103,"San Gabriel/Pearl",,34.092896,-118.090783,,,0,,0
2011,2011,"Greenwood/Date",,33.990875,-118.121757,,,0,,0
2012,2012,"San Gabriel/Central",,34.087866,-118.090923,,,0,,0
2013,2013,"Greenwood/Frankel",,33.993031,-118.120501,,,0,,0
2014,2014,"San Gabriel/Chestnut",,34.085995,-118.090907,,,0,,0
2015,2015,"Greenwood/Washington",,33.994922,-118.119395,,,0,,0
2016,2016,"San Gabriel/Scott",,34.082639,-118.09085,,,0,,0
2017,2017,"Greenwood/School",,33.997127,-118.118092,,,0,,0
2018,2018,"San Gabriel/Valley",,34.079881,-118.090839,,,0,,0
2019,2019,"Greenwood/Beach",,33.99973,-118.11659,,,0,,0
2020,2020,"San Gabriel/Marshall",,34.075459,-118.090786,,,0,,0
2021,2021,"Greenwood/Carmelita",,34.001976,-118.11522,,,0,,0
2022,2022,"San Gabriel/Hellman",,34.069649,-118.090694,,,0,,0
2024,2024,"San Gabriel/Emerson",,34.066444,-118.09068,,,0,,0
2026,2026,"San Gabriel/Garvey Near Side",,34.062937,-118.090683,,,0,,0
2029,2029,"Montebello/Whittier",,34.010523,-118.107986,,,0,,0
2030,2030,"San Gabriel/Garvaila",,34.057923,-118.090685,,,0,,0
2031,2031,"Montebello/Cleveland",,34.012015,-118.107258,,,0,,0
2032,2032,"San Gabriel/Klingerman",,34.055471,-118.090649,,,0,,0
2033,2033,"Montebello/Madison",,34.013362,-118.10685,,,0,,0
2034,2034,"San Gabriel/La Merced",,34.053392,-118.090658,,,0,,0
2035,2035,"Montebello Mart",,34.01691,-118.105878,,,0,,0
2036,2036,"San Gabriel/Potrero Grande",,34.051491,-118.090647,,,0,,0
2037,2037,"Montebello/Victoria",,34.01861,-118.105499,,,0,,0
2038,2038,"San Gabriel/Sierra Bonita",,34.04961,-118.09063,,,0,,0
2039,2039,"Montebello/Lincoln",,34.020299,-118.104992,,,0,,0
2040,2040,"San Gabriel/Celito",,34.047305,-118.09061,,,0,,0
2041,2041,"Montebello/La Merced",,34.022813,-118.104121,,,0,,0
2042,2042,"San Gabriel/Grandview",,34.044198,-118.089783,,,0,,0
2043,2043,"Montebello/Jefferson",,34.025956,-118.101706,,,0,,0
2044,2044,"San Gabriel/Delta",,34.042537,-118.086019,,,0,,0
2045,2045,"Montebello/Liberty",,34.029447,-118.101332,,,0,,0
2046,2046,"San Gabriel/Rose Glen",,34.041856,-118.08439,,,0,,0
2047,2047,"Montebello/Costco",,34.032151,-118.096452,,,0,,0
2048,2048,"Montebello/Robinsons May",,34.037037,-118.080956,,,0,,0
2049,2049,"Montebello/Town Square",,34.032308,-118.093701,,,0,,0
2050,2050,"The Shops at Montebello",,34.034544,-118.085096,,,0,,0
2051,2051,"Town Ctr Dr/Paramount",,34.035414,-118.091609,,,0,,0
2052,2052,"Montebello/Town Square",,34.032496,-118.093913,,,0,,0
2053,2053,"Town Center/Kaiser",,34.036422,-118.08893,,,0,,0
2054,2054,"Montebello/Costco",,34.032298,-118.096668,,,0,,0
2055,2055,"The Shops at Monetebllo",,34.0369,-118.08615,,,0,,0
2056,2056,"Montebello/Liberty",,34.029902,-118.101068,,,0,,0
